source	target	weight	resources	references	sign_decision
TP53	APLP1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17533371	default activation
HIF1A	CXCR1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;Pavlidis2021_CollecTRI	CollecTRI:17533374	PMID
HIF1A	CXCR2	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;Pavlidis2021_CollecTRI	CollecTRI:17533374	PMID
TP73	NLRC4	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17535448	default activation
PPARD	CPT1A	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17540403	regulon
NFE2L2	ROS1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17540521;CollecTRI:22051043	default activation
NR1H3	TLR4	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17540978	PMID
PPARA	FABP4	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:17541509;CollecTRI:19717768	regulon
ZNF436	KRT27	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17542650	default activation
ZNF436	ME3	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17542650	default activation
STAT3	FGG	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:11460505;CollecTRI:17543500;CollecTRI:17956865;CollecTRI:7592638	PMID
TFAP2A	TGFB3	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:1754378	PMID
SP1	CTNND1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:1754393;CollecTRI:21336985	default activation
SNAI1	PTP4A3	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17545014;CollecTRI:21811102	PMID
PEG3	IL24	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17545625;CollecTRI:18323853	default activation
PPARG	GOT1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17545671	default activation
RXRA	GOT1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17545671	default activation
RORA	GOT1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17545671	PMID
CTBP2	ACHE	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17546044	default activation
RELA	CDKN2A	-1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17546045	PMID
